,app_name,genre,size_bytes,rating_count,rating,overall_rc,overall_r,overall_score,genre_rc,genre_r,genre_score,success_score,app_name_length,app_name_words
3142,The Pocket Quiz for Pokemon,Games,20499456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5
3143,Jishokun-Japanese English Dictionary & Translator,Reference,225522688,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,4
3144,Simple Reversi Online,Games,10053632,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3
3145,Tapping Monsters,Games,469181440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2
3146,任务客,Entertainment,28395520,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3147,Pictalive for Live Photos - Create from videos,Photo & Video,26969088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,7
3148,TodayAir,Weather,30035968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1
3149,Der IQ Test - Intelligenztest (Deutsch),Games,17666048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,5
3150,Ear Age Diagnosis,Games,5113856,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3
3151,Tetro Blocks - Beat IQ with Tetrix-style-puzzle.,Games,47351808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,6
3152,REVERSI ZERO - free classic game,Games,36559872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,5
3153,SUDOKU -The puzzle game that makes your brain younger!-,Games,19547136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,9
3154,wetter.com,Weather,192418816,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1
3155,ブリ猫,Games,41528320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3156,Fusion Pictures - A Multiplayer Game with 4 Hidden Pics Object & 1 Word Puzzle,Games,57844736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,12
3157,WarnWetter,Weather,51410944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1
3158,Limite Limite,Games,15981568,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2
3159,Refreshing ! Brain training fit,Games,62258176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4
3160,"S, - Puzzle Game With Create Level Feature",Games,28254208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,7
3161,Stress Release Grenade,Games,195417088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3
3162,Theory of evolution,Entertainment,42460160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3
3163,striker – dropping balls,Games,64180224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3
3164,Billiards8 (8 Ball & Mission),Games,315748352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4
3165,Toy Blocks Game for Brain Traning -TSUMIKI-,Games,97424384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,7
3166,DropEraser,Games,318803968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1
3167,BestieBox,Social Networking,48274432,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1
3168,Hugsafe Petracker,Utilities,3115008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2
3169,METAL SAGA -Ark in the wild land-,Games,173882368,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,7
3170,Myth Kingdom:Wrath of Gauss,Games,320819200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,4
3171,屠龙杀,Games,241339392,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3172,TownWiFi - WiFi Everywhere,Utilities,112883712,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3
